Contig1	+	19400001	19600000	Contig11	1	200000
Contig1	-	1	19400000	LG11	34155913	53555912
Contig1	-	19600001	79412063	LG03	91996652	151808714
Contig2	+	1	78273593	LG09	1	78273593
Contig3	+	1	76441165	LG04	1	76441165
Contig4	+	1	75413773	LG01	4440711	79854483
Contig5	+	1	73900473	LG03	1	73900473
Contig6	-	1	73309517	LG04	76441266	149750782
Contig7	-	1	64923033	LG07	65490903	130413935
Contig8	+	1	62882230	LG07	1	62882230
Contig9	+	1	62293490	LG06	72904517	135198006
Contig10	+	1	60754699	LG02	100884247	161638945
Contig11	+	1	60267789	LG12	61632249	121900037
Contig12	-	1	59376634	LG13	58333677	117710310
Contig13	-	1	59001702	LG05	88178418	147180119
Contig14	-	1	58880350	LG01	128282517	187162866
Contig15	-	1	58111655	LG08	63037235	121148889
Contig16	-	1	57694584	LG11	64795380	122489963
Contig17	-	1	56194162	LG02	44689985	100884146
Contig18	+	1	55022522	LG05	1	55022522
Contig19	-	1	52810503	LG14	1	52810503
Contig20	-	1	52076291	LG12	9555858	61632148
Contig21	-	1	51378232	LG15	45972050	97350281
Contig22	+	1	50070809	LG06	14651155	64721963
Contig23	+	1	48794328	LG09	78273694	127068021
Contig24	-	1	40400000	LG18	1	40400000
Contig24	-	40400001	47153567	LG19	18841750	25595316
Contig25	-	1	44282890	LG17	36220453	80503342
Contig26	+	1	44144250	LG16	43174191	87318440
Contig27	+	1	43174090	LG16	1	43174090
Contig28	-	1	43064760	LG08	1	43064760
Contig29	-	1	42539785	LG13	15793792	58333576
Contig30	-	1	40865027	LG10	47215272	88080298
Contig31	-	1	33641245	LG17	1	33641245
Contig32	+	1	33155695	LG05	55022623	88178317
Contig33	-	1	32667287	LG14	68961942	101629228
Contig34	-	1	32595161	LG15	3488801	36083961
Contig35	-	1	29763127	LG11	3641456	33404582
Contig36	+	1	26988735	LG10	92512399	119501133
Contig37	+	1	26575129	LG01	79854584	106429712
Contig38	-	1	26267683	LG01	187162967	213430649
Contig39	-	1	23947197	LG02	20502664	44449860
Contig40	+	1	21140539	LG01	107141878	128282416
Contig41	-	1	20502563	LG02	1	20502563
Contig42	+	1	18485260	LG10	26078084	44563343
Contig43	+	1	18095978	LG03	73900574	91996551
Contig44	-	1	16151238	LG14	52810604	68961841
Contig45	+	1	15793691	LG13	1	15793691
Contig46	-	1	14651054	LG06	1	14651054
Contig47	-	1	13947831	LG10	12130153	26077983
Contig48	-	1	13673017	LG08	49364118	63037134
Contig49	+	1	11239267	LG11	53556013	64795279
Contig50	+	1	9572312	LG19	1	9572312
Contig51	-	1	9555757	LG12	1	9555757
Contig52	+	1	7247071	LG15	38724879	45971949
Contig53	-	1	6512936	LG08	122032795	128545730
Contig54	-	1	6211629	LG08	43064861	49276489
Contig55	+	1	5763523	LG10	1536868	7300390
Contig56	+	1	5542039	LG06	67126318	72668356
Contig57	-	1	5533622	LG10	119905628	125439249
Contig58	+	1	4836446	LG19	13172837	18009282
Contig59	+	1	3724092	LG01	1	3724092
Contig60	-	1	3641355	LG11	1	3641355
Contig61	-	1	3488700	LG15	1	3488700
Contig62	-	1	2680735	LG10	9449318	12130052
Contig63	-	1	2608472	LG07	62882331	65490802
Contig64	-	1	2492027	LG10	44723145	47215171
Contig65	-	1	2368622	LG17	33641346	36009967
